PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32929754","Systemic amyloidosis from A (AA) to T (ATTR): a review","Muchtar E, Dispenzieri A, Magen H, Grogan M, Mauermann M, McPhail ED, Kurtin PJ, Leung N, Buadi FK, Dingli D, Kumar SK, Gertz MA.","J Intern Med. 2021 Mar;289(3):268-292. doi: 10.1111/joim.13169. Epub 2020 Sep 14.","Muchtar E","J Intern Med","2021","2020/09/15","","","10.1111/joim.13169"
"38306032","Using Neuroimaging to Study Cerebral Amyloid Angiopathy and Its Relationship to Alzheimer's Disease","Wheeler KV, Irimia A, Braskie MN.","J Alzheimers Dis. 2024;97(4):1479-1502. doi: 10.3233/JAD-230553.","Wheeler KV","J Alzheimers Dis","2024","2024/02/02","","","10.3233/JAD-230553"
"32544917","Confirming the Diagnosis of Amyloidosis","Wisniowski B, Wechalekar A.","Acta Haematol. 2020;143(4):312-321. doi: 10.1159/000508022. Epub 2020 Jun 16.","Wisniowski B","Acta Haematol","2020","2020/06/17","","","10.1159/000508022"
"36171657","Proteomic Markers and Early Prediction of Alzheimer's Disease","Zakharova NV, Bugrova AE, Indeykina MI, Fedorova YB, Kolykhalov IV, Gavrilova SI, Nikolaev EN, Kononikhin AS.","Biochemistry (Mosc). 2022 Aug;87(8):762-776. doi: 10.1134/S0006297922080089.","Zakharova NV","Biochemistry (Mosc)","2022","2022/09/29","","","10.1134/S0006297922080089"
"38639806","Left Ventricular Segmentation, Warping, and Myocardial Registration for Automated Strain Measurement","Huang KC, Lin DS, Jeng GS, Lin TT, Lin LY, Lee CK, Lin LC.","J Imaging Inform Med. 2024 Oct;37(5):2274-2286. doi: 10.1007/s10278-024-01119-5. Epub 2024 Apr 19.","Huang KC","J Imaging Inform Med","2024","2024/04/19","PMC11522271","","10.1007/s10278-024-01119-5"
"30668647","Plasma tau/amyloid-β1-42 ratio predicts brain tau deposition and neurodegeneration in Alzheimer's disease","Park JC, Han SH, Yi D, Byun MS, Lee JH, Jang S, Ko K, Jeon SY, Lee YS, Kim YK, Lee DY, Mook-Jung I.","Brain. 2019 Mar 1;142(3):771-786. doi: 10.1093/brain/awy347.","Park JC","Brain","2019","2019/01/23","","","10.1093/brain/awy347"
"36455492","Association of longitudinal cognitive decline with diffusion MRI in Gray Matter, Amyloid, and Tau deposition","Wang WE, Chen R, Mayrand RP, Adjouadi M, Fang R, DeKosky ST, Duara R, Coombes SA, Vaillancourt DE; Alzheimer's Disease Neuroimaging Initiative.","Neurobiol Aging. 2023 Jan;121:166-178. doi: 10.1016/j.neurobiolaging.2022.10.013. Epub 2022 Nov 5.","Wang WE","Neurobiol Aging","2023","2022/12/01","","","10.1016/j.neurobiolaging.2022.10.013"
"33361604","Presymptomatic Dutch-Type Hereditary Cerebral Amyloid Angiopathy-Related Blood Metabolite Alterations","Chatterjee P, Fagan AM, Xiong C, McKay M, Bhatnagar A, Wu Y, Singh AK, Taddei K, Martins I, Gardener SL, Molloy MP, Multhaup G, Masters CL, Schofield PR, Benzinger TLS, Morris JC, Bateman RJ, Greenberg SM, Wermer MJH, van Buchem MA, Sohrabi HR, Martins RN; Dominantly Inherited Alzheimer Network.","J Alzheimers Dis. 2021;79(2):895-903. doi: 10.3233/JAD-201267.","Chatterjee P","J Alzheimers Dis","2021","2020/12/28","PMC8057860","NIHMS1692136","10.3233/JAD-201267"
"40042503","Circulating proteomic biomarkers for cerebral amyloid angiopathy screening and risk stratification","Xu J, Su Y, Sha Y, Fu J, Yan T, Xu F, Tang H, Ying Y, Xia Y, Dong Q, Gurol ME, Ni J, Cheng X.","Alzheimers Dement. 2025 Mar;21(3):e70044. doi: 10.1002/alz.70044.","Xu J","Alzheimers Dement","2025","2025/03/05","PMC11881623","","10.1002/alz.70044"
"36245373","Perivascular Space Predicts Brain Hypometabolism of Individuals with Underlying Amyloid Pathology","Shi X, Zhou N, Sun B, Wu Y, Hu Y, Ning Y; Alzheimer’s Disease Neuroimaging Initiative.","J Alzheimers Dis. 2022;90(3):1329-1337. doi: 10.3233/JAD-220426.","Shi X","J Alzheimers Dis","2022","2022/10/17","","","10.3233/JAD-220426"
