"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Duque E.R.; Tepetes N.-L.; Kourek C.; Mortada I.; Papamichail A.; Kastritis E.; Stamatelopoulos K.; Briasoulis A.; Asleh R.","Duque, Ernesto Ruiz (57219566617); Tepetes, Nikolaos-Lason (59710089200); Kourek, Chris (57203287831); Mortada, Ibrahim (57191285771); Papamichail, Adamantia (57227836900); Kastritis, Efstathios (8504977900); Stamatelopoulos, Kimon (6602464098); Briasoulis, Alexandros (23501496400); Asleh, Rabea (6506488700)","57219566617; 59710089200; 57203287831; 57191285771; 57227836900; 8504977900; 6602464098; 23501496400; 6506488700","Tailoring heart failure management in cardiac amyloidosis","2026","Heart Failure Reviews","31","1","53","","","0","10.1007/s10741-026-10624-4","https://www.scopus.com/pages/publications/105035471509?origin=resultslist","Cardiac amyloidosis is an infiltrative cardiomyopathy caused by extracellular deposition of amyloid fibrils, most commonly from immunoglobulin light chain (AL) or transthyretin (ATTR) proteins. Cardiac involvement dictates prognosis, with restrictive physiology, diastolic dysfunction, and conduction disease leading to progressive heart failure. Management of heart failure in cardiac amyloidosis differs fundamentally from conventional heart failure strategies. Due to preload dependence, autonomic dysfunction, and poor tolerance of standard therapies, treatment focuses on cautious volume control using low-dose diuretics, while β-blockers and ACE inhibitors, are used sparingly. Mineralocorticoid receptor antagonists are generally well tolerated and commonly used, with monitoring for hyperkalemia and renal dysfunction. Disease-specific therapy has revolutionized outcomes: daratumumab-based chemotherapy in AL amyloidosis achieves rapid and deep hematologic responses, improving cardiac biomarkers, imaging parameters, and survival. In the ATTR-subtype, transthyretin stabilizers and silencers significantly reduce mortality, cardiovascular hospitalizations, and functional decline, especially when initiated early. Atrial fibrillation and conduction disease are common; anticoagulation is indicated irrespective of CHA₂DS₂-VASc score. Ιmplantable cardioverter-defibrillator and cardiac resynchronization therapy are reserved for standard indications, with limited survival benefit. Inotropes serve as palliative or bridge therapy in end-stage disease, while transplantation remains viable in selected patients with controlled systemic disease. Emerging TTR stabilizers, gene silencers, and fibril-clearing antibodies may further transform prognosis. Advances in imaging, digital monitoring, and multidisciplinary care aim to enhance early detection and individualized management. Timely diagnosis, evidence-based therapy, and coordinated multidisciplinary care are essential to optimize survival and quality of life in cardiac amyloidosis. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026.","AL amyloidosis; ATTR amyloidosis; Cardiac amyloidosis; Heart failure management","beta adrenergic receptor blocking agent; biological marker; daratumumab; dipeptidyl carboxypeptidase inhibitor; diuretic agent; immunoglobulin light chain; inotropic agent; mineralocorticoid antagonist; transthyretin; AL amyloidosis; anticoagulation; atrial fibrillation; ATTR amyloidosis; autonomic dysfunction; bridging therapy; cardiac resynchronization therapy; cardiomyopathy; cardiovascular disease; clinical article; controlled study; diagnosis; diastolic dysfunction; digital imaging; drug therapy; functional disease; heart amyloidosis; heart failure; heart muscle conduction disturbance; human; hyperkalemia; low drug dose; quality of life; review; systemic disease; therapy; aged; human tissue; male; oral drug administration","Review","Final","","Scopus","2-s2.0-105035471509"
"Liu M.; Guo J.; Chen W.; Wu X.; Xu W.; Huang X.","Liu, Mengnan (58370153400); Guo, Jinzhou (57204883078); Chen, Wencui (55983518700); Wu, Xiaomei (60384608500); Xu, Weiwei (56502593800); Huang, Xianghua (55366068100)","58370153400; 57204883078; 55983518700; 60384608500; 56502593800; 55366068100","Long-term outcomes of autologous stem cell transplantation for AL amyloidosis: a 15-year experience from a Chinese referral center and a comparison of different eras","2026","Blood Cancer Journal","16","1","27","","","0","10.1038/s41408-026-01464-4","https://www.scopus.com/pages/publications/105032854477?origin=resultslist","[No abstract available]","","bortezomib; daratumumab; melphalan; adult; AL amyloidosis; autologous stem cell transplantation; bone marrow biopsy; Chinese; clinical outcome; clinical research; diarrhea; disease exacerbation; female; fever; follow up; heart failure; human; infection; institutional review; Kaplan Meier method; kidney biopsy; kidney disease; Letter; light chain; long term care; major clinical study; male; metabolic disorder; multivariate analysis; nausea and vomiting; overall response rate; overall survival; progression free survival; proportional hazards model; quality of life; respiratory tract infection; risk factor; second-line treatment; Varicella zoster virus; AL amyloidosis; controlled study; letter; patient referral","Letter","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105032854477"
"Yao Y.; Yao S.; Xu Y.; Zhao Q.; Xiong X.; Liu K.; Liu Y.; Wang Z.; Xu W.; Liu C.; Zhou J.; Li D.","Yao, Yuxuan (59297729600); Yao, Shun (58793140500); Xu, Yamei (57214446984); Zhao, Qinyue (57641919200); Xiong, Xingyu (60035541400); Liu, Kaien (58922877400); Liu, Yu (55951849200); Wang, Zhizhi (54957061200); Xu, Wenqing (57219106044); Liu, Cong (36915305400); Zhou, Jingmin (7405551901); Li, Dan (56169011200)","59297729600; 58793140500; 57214446984; 57641919200; 60035541400; 58922877400; 55951849200; 54957061200; 57219106044; 36915305400; 7405551901; 56169011200","Cryo-EM structures of light chain fibrils from abdominal fat biopsies of multiple myeloma patients","2026","Nature Communications ","17","1","3137","","","0","10.1038/s41467-026-69784-4","https://www.scopus.com/pages/publications/105034908755?origin=resultslist","Multiple myeloma (MM) is a hematological malignancy characterized by the abnormal proliferation of plasma cells in the bone marrow and is closely associated with systemic light chain amyloidosis (AL), a disease triggered by the amyloid aggregation of antibody light chain (LC). High-resolution structures of amyloid LC fibrils from MM patients remain largely unexplored. Here, we extracted LC amyloid fibrils directly from abdominal fat biopsies of two living MM patients. Using cryo-electron microscopy (cryo-EM), we further determined the structures of three distinct LC fibril morphologies, which differ significantly from previously reported fibril structures derived from AL amyloidosis patients. Structural comparisons and computational analyses suggested distinct LC fibrillation mechanisms in MM compared to AL amyloidosis, highlighting a potential role of elevated protein concentration in driving LC aggregation in MM. These findings provide essential molecular insights into LC fibril formation in MM and offer a structural foundation for biological diagnosis of living MM patients based on accessible abdominal fat biopsy samples. © The Author(s) 2026.","","Abdominal Fat; Aged; Amyloid; Biopsy; Cryoelectron Microscopy; Female; Humans; Immunoglobulin Light Chains; Immunoglobulin Light-chain Amyloidosis; Male; Middle Aged; Multiple Myeloma; amyloid; amyloid; immunoglobulin light chain; antibody; bone; cell component; disease severity; hematology; plasma; protein; abdominal fat; AL amyloidosis; Article; cancer patient; controlled study; cryoelectron microscopy; human; human tissue; light chain; multiple myeloma; tumor biopsy; aged; biopsy; chemistry; cryoelectron microscopy; female; male; metabolism; middle aged; pathology; ultrastructure","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105034908755"
"Villarroel C.; Howard M.; Wyse A.J.; Yadav U.; Gibson S.E.","Villarroel, Carlos (60546398600); Howard, Matthew (8974558000); Wyse, Aaron J. (15727104400); Yadav, Udit (58262268500); Gibson, Sarah E. (56367817800)","60546398600; 8974558000; 15727104400; 58262268500; 56367817800","AIns (insulin) type amyloidosis in a kidney transplant candidate with a newly identified monoclonal gammopathy","2026","Journal of Hematopathology","19","1","12","","","0","10.1007/s12308-026-00690-w","https://www.scopus.com/pages/publications/105034449461?origin=resultslist","Background: Amyloidosis is a heterogeneous group of disorders with 42 types of amyloidogenic proteins currently described. The most common forms include AL (immunoglobulin light chain), ATTR (transthyretin), and AA ([Apo] serum amyloid A). Beyond routine Congo red staining, amyloid typing is essential to ensure the appropriate diagnosis and clinical management of patients with amyloidosis. Purpose: In this report, we discuss the utility of proteomics-based amyloid typing in the setting of a patient with a newly identified monoclonal gammopathy (IgG kappa) discovered during an evaluation for kidney transplantation. This case highlights the value of recognizing non-AL amyloid proteins. Methods: Amyloid protein identification by liquid chromatography tandem mass spectrometry (LC-MS/MS) was performed on an abdominal subcutaneous fat aspirate (SFA) from the patient. Results: The bone marrow biopsy demonstrated involvement by plasma cell myeloma (15% kappa monotypic plasma cells). Although a Congo red stain on the biopsy showed no amyloid deposition, amyloid was identified in the concurrent SFA. Instead of AL amyloid, LC-MS/MS demonstrated AIns (insulin) type amyloid, which was confirmed to be related to the patient’s subcutaneous insulin injections. With this information, the patient was diagnosed with SMM and remained a viable candidate for kidney transplantation. Conclusions: Proteomics-based amyloid typing allows sensitive and specific identification of both common and rare amyloid types. Amyloid typing by this method ensures appropriate clinical management of patients with both systemic and localized amyloidosis. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2026.","AIns; Amyloid typing; Amyloidosis; Kidney transplant; Monoclonal gammopathy; Proteomics","amyloid protein; immunoglobulin light chain; insulin; transthyretin; adult; amyloidosis; Article; blood cell count; bone marrow biopsy; case report; clinical article; hemodialysis; human; human tissue; immunohistochemistry; in situ hybridization; kidney transplantation; liquid chromatography-mass spectrometry; male; middle aged; monoclonal immunoglobulinemia; multiple myeloma; non insulin dependent diabetes mellitus; proteomics","Article","Final","","Scopus","2-s2.0-105034449461"
"Gaire B.P.; Koronyo Y.; Vit J.-P.; Hutton A.; Subedi L.; Fuchs D.-T.; Swerdlow N.; Rentsendorj A.; Shahin S.; Martinon D.; Robinson E.; Ljubimov A.V.; Schneider J.A.; Schneider L.S.; Hawes D.; Graham S.L.; Gupta V.K.; Mirzaei M.; Black K.L.; Meyer J.G.; Arditi M.; Crother T.R.; Koronyo-Hamaoui M.","Gaire, Bhakta Prasad (37461314800); Koronyo, Yosef (35332483700); Vit, Jean-Philippe (11240312700); Hutton, Alexandre (58023551500); Subedi, Lalita (6507443364); Fuchs, Dieu-Trang (56081550000); Swerdlow, Natalie (57221044834); Rentsendorj, Altan (12242837600); Shahin, Saba (55555019100); Martinon, Daisy (57207650870); Robinson, Edward (58970932500); Ljubimov, Alexander V. (60148131100); Schneider, Julie A. (35391665200); Schneider, Lon S. (7202548365); Hawes, Debra (7005982924); Graham, Stuart L. (7401977985); Gupta, Vivek K. (35073936800); Mirzaei, Mehdi (35975058600); Black, Keith L. (7202570005); Meyer, Jesse G. (55351201900); Arditi, Moshe (7006031769); Crother, Timothy R. (6603642058); Koronyo-Hamaoui, Maya (6507919348)","37461314800; 35332483700; 11240312700; 58023551500; 6507443364; 56081550000; 57221044834; 12242837600; 55555019100; 57207650870; 58970932500; 60148131100; 35391665200; 7202548365; 7005982924; 7401977985; 35073936800; 35975058600; 7202570005; 55351201900; 7006031769; 6603642058; 6507919348","Identification of Chlamydia pneumoniae and NLRP3 inflammasome activation in Alzheimer’s disease retina","2026","Nature Communications ","17","1","771","","","0","10.1038/s41467-026-68580-4","https://www.scopus.com/pages/publications/105028317114?origin=resultslist","Chlamydia pneumoniae is an intracellular bacterium implicated in Alzheimer’s disease (AD), but its role in retinal pathology and disease progression is unclear. Here we identify Chlamydia pneumoniae inclusions in the retina, showing higher burden in AD retina and brain, increasing with APOEε4, disease stage, and cognitive deficit. Retinal and cortical proteomics reveal bacterial-infection and related NLRP3-inflammasome pathways. Retinal NLRP3 is elevated in mild cognitive impairment and activated in AD dementia, evidenced by increased caspase-1, cleaved interleukin-1β, and cleaved N-terminal gasdermin-D. Chlamydia pneumoniae associates with amyloid-β42, inflammation, apoptosis, pyroptosis, and AD status. In neuronal cultures and APPSWE/PS1ΔE9 model mice, infection induces amyloid-β, inflammasome activation, neuroinflammation, and neurotoxicity, and chronic infection worsens cognition. Fewer pathogen-colocalized microglia are found in AD retinas, implying impaired clearance. Machine learning detects retinal Chlamydia pneumoniae or NLRP3, combined with amyloid-β42, as predictors of AD diagnosis and stage. These findings support a disease-amplifying role for Chlamydia pneumoniae and propose NLRP3-attenuation or antibiotic-based early interventions. © The Author(s) 2026.","","Aged; Alzheimer Disease; Amyloid beta-Peptides; Animals; Brain; Chlamydophila Infections; Chlamydophila pneumoniae; Cognitive Dysfunction; Disease Models, Animal; Female; Humans; Inflammasomes; Interleukin-1beta; Male; Mice; Mice, Inbred C57BL; Mice, Transgenic; Microglia; Neurons; NLR Family, Pyrin Domain-Containing 3 Protein; Peptide Fragments; Retina; adaptor protein; amyloid beta protein[1-42]; apolipoprotein E4; cryopyrin; dermcidin; gasdermin; genomic DNA; immunoglobulin enhancer binding protein; inflammasome; interferon; interleukin 1beta; interleukin 1beta converting enzyme; messenger RNA; myeloid differentiation factor 88; polyclonal antibody; tau protein; toll like receptor 2; amyloid beta protein; cryopyrin; inflammasome; interleukin 1beta; NLRP3 protein, human; Nlrp3 protein, mouse; peptide fragment; antibiotics; bacterium; brain; disease treatment; nervous system disorder; pathology; proteomics; aged; Alzheimer disease; amyloidosis; animal experiment; animal model; animal tissue; antigen retrieval; apoptosis; Article; astrocyte; autopsy; bacterial infection; bacterial load; bacterium identification; Barnes maze test; biochemical analysis; brain tissue; cell death; cell inclusion; Chlamydia pneumoniae; Chlamydia psittaci; Chlamydia trachomatis; chlamydial pneumonia; chronic infection; clinical assessment; cognitive defect; cohort analysis; controlled study; cytokine signaling; disease exacerbation; disease severity; dorsolateral prefrontal cortex; early intervention; entorhinal cortex; female; fluorescence in situ hybridization; frontal lobe; Giemsa stain; gliosis; HEp-2 cell line; hippocampus; histology; human; human cell; human tissue; immunocytochemistry; immunohistochemistry; in vitro study; innate immunity; major clinical study; male; mass spectrometry; maze test; microglia; mild cognitive impairment; Mini Mental State Examination; mouse; mRNA expression level; nerve cell culture; nerve degeneration; nervous system inflammation; neuropathology; neurotoxicity; nonhuman; occipital lobe; open field test; phagocytosis; polymerase chain reaction; postmortem interval; protein expression; proteomics; pyroptosis; random forest; real time polymerase chain reaction; retina tissue; retinal ganglion cell layer; retinal inner nuclear layer; retinitis; SH-SY5Y cell line; striate cortex; superior frontal gyrus; superior parietal lobule; superior temporal gyrus; temporal lobe; Western blotting; animal; brain; C57BL mouse; Chlamydia infection; Chlamydia pneumoniae; disease model; genetics; immunology; isolation and purification; metabolism; microbiology; nerve cell; pathology; retina; transgenic mouse","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028317114"
"Sinigiani G.; Milani P.; De Michieli L.; Sanna G.D.; Perlini S.; Cipriani A.; Palladini G.","Sinigiani, Giulio (57220762360); Milani, Paolo (36647744200); De Michieli, Laura (57193392948); Sanna, Giuseppe Damiano (57206429874); Perlini, Stefano (7003461147); Cipriani, Alberto (56677447300); Palladini, Giovanni (7006442443)","57220762360; 36647744200; 57193392948; 57206429874; 7003461147; 56677447300; 7006442443","Monitoring heart involvement in treated and untreated transthyretin amyloidosis","2026","Heart Failure Reviews","31","1","15","","","1","10.1007/s10741-025-10588-x","https://www.scopus.com/pages/publications/105025477674?origin=resultslist","Transthyretin amyloidosis (ATTR) with heart involvement is a progressive, life-threatening condition characterized by amyloid fibril deposition in the myocardium, leading to heart failure, substantial morbidity, and increased mortality. Tafamidis, a transthyretin stabilizer, has been the first and for years the only available disease-modifying therapy, with proven survival benefit. However, a significant proportion of patients continue to experience clinical deterioration, underscoring the need for effective monitoring strategies to guide individual patient management and to serve as surrogate endpoints in clinical trials and in real-world clinical follow up. Current approaches to disease monitoring are largely adapted from heart failure management and include periodic assessment of clinical status, biomarkers, imaging, and functional capacity. Nevertheless, real-world data highlight important limitations, particularly in detecting early disease progression among treated patients. As novel therapies become increasingly available, early identification of suboptimal treatment response is critical to inform timely therapeutic decisions. Developing and validating a reproducible, easy framework for disease monitoring thus remain an urgent research priority. This narrative review summarizes current evidence on monitoring patients with ATTR and heart involvement, including both treated and untreated individuals. It also outlines future directions in this evolving field, emphasizing key knowledge gaps and opportunities for improvement. © The Author(s) 2025.","ATTR; Cardiac amyloidosis; Disease monitoring; Disease progression; Tafamidis","biological marker; tafamidis; transthyretin; adult; ATTR amyloidosis; cohort analysis; disease surveillance; drug therapy; follow up; functional status; heart amyloidosis; heart failure; human; patient care; review; therapy; treatment response; case report; clinical article; special situation for pharmacovigilance","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105025477674"
"Simon K.Z.; Béres K.A.; Farkas A.; Papp N.; Bodor A.; Harmat V.; Papp D.; Gracheva M.; Sulyok-Eiler M.; Perczel A.; Kótai L.; Menyhárd D.K.","Simon, Kevin Zsolt (60380137900); Béres, Kende Attila (57211043021); Farkas, Attila (24372641300); Papp, Nándor (58409471300); Bodor, Andrea (6701652572); Harmat, Veronika (6603495570); Papp, Dávid (57735689900); Gracheva, Maria (57195406589); Sulyok-Eiler, Máté (57216209308); Perczel, András (7006347313); Kótai, László (6701524860); Menyhárd, Dóra K. (6603263170)","60380137900; 57211043021; 24372641300; 58409471300; 6701652572; 6603495570; 57735689900; 57195406589; 57216209308; 7006347313; 6701524860; 6603263170","Physiologically relevant forms of Tc- and Re-pyrophosphate radioactive tracers and the basis of their transthyretin amyloid sensitivity","2026","Scientific Reports","16","1","6111","","","0","10.1038/s41598-026-35746-5","https://www.scopus.com/pages/publications/105029795294?origin=resultslist","Technetium Pyrophosphate (Tc-PYP(Sn)) is a commonly used radioactive tracer, with a long history of use in diagnosing bone-related diseases and a newfound purpose in differentiating ATTR and AL amyloidoses. Despite its ubiquity, basic aspects like its composition and structure are as of yet undetermined, and its method of binding to ATTR amyloid fibrils is likewise hitherto unknown. This complicates the diagnostic process, as it introduces inexplicable losses of sensitivity in some ATTR and AL variants. In this paper we report the results of our comprehensive investigation into the physiologically active structure of Tc-PYP and its closely related, but experimentally more approachable counterpart, Re-PYP, built on a robust theoretical basis and backed up by multiple spectroscopic methods (focusing on the rhenium analogue). We conclude that the Re/Tc-PYP tracers possess a flexible geometry, but ultimately appear as octahedral Re(IV)/Tc(IV) diaqua dipyrophosphate complexes under physiological conditions, and predict that this structure is the reason for the high affinity of Tc-PYP for certain amyloids. © The Author(s) 2026.","","Amyloid; Amyloid Neuropathies, Familial; Humans; Prealbumin; Radioactive Tracers; Rhenium; Technetium Tc 99m Pyrophosphate; amyloid; pyrophosphate technetium tc 99m; rhenium; tracer; transthyretin; chemistry; diagnosis; familial amyloid polyneuropathy; human; metabolism","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105029795294"
"Jefferson A.; Narvekar P.; Roehm B.; Toto R.; Roth L.; Grodin J.L.","Jefferson, Artrish (57737692000); Narvekar, Priyanka (58844195000); Roehm, Bethany (60109908600); Toto, Robert (35418717400); Roth, Lori (57216843910); Grodin, Justin L. (54381593000)","57737692000; 58844195000; 60109908600; 35418717400; 57216843910; 54381593000","Cardiorenal Biomarkers and their Implications in Prognosis and Treatment Response of Transthyretin Cardiac Amyloidosis","2026","Current Heart Failure Reports","23","1","12","","","0","10.1007/s11897-026-00754-z","https://www.scopus.com/pages/publications/105034458628?origin=resultslist","Purpose of Review: Transthyretin amyloid cardiomyopathy (ATTR-CM) is a type of progressive cardiomyopathy that is characterized by the accumulation of misfolded transthyretin protein within the myocardium. Cardiorenal dysfunction is common among patients with ATTR-CM, and its presence is associated with worse outcomes. As such, monitoring kidney dysfunction has important implications for disease prognostication. There remains an unmet need to better characterize renal biomarkers to enhance risk stratification and assessment of treatment response in affected patients. The goal of this review is to detail how cardiorenal dysfunction influences the clinical natural history of ATTR-CM and how it may be modified by treatment. Recent findings: An increasing body of evidence has evaluated the usefulness of various renal biomarkers in ATTR-CM. Beyond traditional measures such as estimated glomerular filtration rate(eGFR), measures of albuminuria, cystatin C, and uromodulin may better reflect glomerular and tubular vulnerability, while congestion related measures such as outpatient diuretic intensification may better capture disease trajectory. Emerging data also suggest that disease modifying therapies and supportive treatments may influence renal function over time. Summary: Cardiorenal biomarkers in ATTR-CM may provide insight into the evolving disease biology and the interplay between cardiac dysfunction and kidney injury. As disease modifying therapies become more widely used, incorporating dynamic renal measures (including eGFR trajectories and albuminuria) may refine prognostic precision and support longitudinal assessment of treatment effect. © The Author(s) 2026.","Albuminuria; Cardiorenal syndrome; Cystatin C; Estimated glomerular filtration rate; Transthyretin amyloid cardiomyopathy; Treatment response","biological marker; cystatin C; Tamm Horsfall glycoprotein; transthyretin; albuminuria; cardiomyopathy; cardiorenal syndrome; drug therapy; estimated glomerular filtration rate; familial amyloid cardiomyopathy; glomerulus; heart failure; human; kidney dysfunction; kidney function; kidney injury; longitudinal study; major clinical study; pharmacology; prognosis; review; treatment response; adverse drug reaction; drug dose; drug megadose","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105034458628"
"Xiao R.; Gross-Valle C.; Gerding A.; Thorne A.M.; Oosterveer M.H.; Derks T.G.J.; de Meijer V.E.; Heiner-Fokkema M.R.; Bakker B.M.; Wolters J.C.","Xiao, Ruiqi (60156530400); Gross-Valle, Candelas (59390846700); Gerding, Albert (57189010360); Thorne, Adam M. (57205553311); Oosterveer, Maaike H. (25622842500); Derks, Terry G. J. (8542743500); de Meijer, Vincent E. (14038589400); Heiner-Fokkema, M. Rebecca (59706271400); Bakker, Barbara M. (57214397664); Wolters, Justina C. (57004531400)","60156530400; 59390846700; 57189010360; 57205553311; 25622842500; 8542743500; 14038589400; 59706271400; 57214397664; 57004531400","Proteomics profiling of serum and liver in GSD Ia and Ib patients: insights into complication mechanisms and circulation biomarkers","2026","Journal of Translational Medicine","24","1","302","","","1","10.1186/s12967-026-07747-5","https://www.scopus.com/pages/publications/105031720043?origin=resultslist","Background: Glycogen Storage Disease (GSD) Types Ia and Ib are rare metabolic diseases caused by gene variants in G6PC1 and SLC37A4, respectively. Although life-threatening fasting hypoglycemia can be controlled by a strict diet, patients often suffer from multiple metabolic abnormalities and severe long-term complications. However, the underlying mechanisms remain incompletely understood, and there is a lack of effective monitoring biomarkers. Therefore, the aims of this study are to investigate the pathological mechanisms of the disease and disease complications in GSD I and identify potential protein biomarkers. Methods: Comprehensive untargeted proteomics was performed on 18 GSD Ia and 8 GSD Ib sera samples from patients with 21 matched control sera, complemented by liver 3 GSD Ia samples and 1 GSD Ib sample from patient liver tissues, compared to 10 donor liver samples. Results: We identified 415 proteins in total. Significantly changed (FDR < 0.05) were observed in 158 (38%) proteins for GSD Ia vs Control, 116 (28%) for GSD Ib vs. Control, and 151 (36%) for GSD Ia vs. Ib. Pathway analysis revealed distinct alterations in serum/plasma, with 58, 32, and 29 significantly changed biological processes (FDR < 0.05) in these three comparisons, respectively. The coagulation pathway was the most significantly changed one in the GSD Ia patients. Immune response-associated proteins, especially immunoglobulins, were increased in GSD Ib specifically. Proteins related to liver injury, cholesterol, and amyloidosis were altered in two subtypes, though more pronounced in GSD Ia. Potential biomarkers with significant alterations both in the circulation and in the liver tissue were identified specifically for monitoring GSD I subtypes and prognosing liver deterioration, namely APOC1 and CD5L to distinguish between GSD Ia and Ib and ALDOB for the presence of hepatocellular carcinoma (HCC) in GSD Ia patients. Conclusions: These findings provide new insights into the differences between the two GSD I subtypes and the pathogenesis of GSD I-related complications, as well as highlighting the potential of protein circulating biomarkers for monitoring complication progression in GSD I and assessing HCC risk in GSD Ia patients. © The Author(s) 2026.","Circulation biomarkers; Complication mechanisms; Glycogen storage disease type I; Hepatocellular carcinoma; Prognosis; Proteomics","biological marker; circulation  biological marker; immunoglobulin; plasma protein; unclassified drug; biological marker; adolescent; adult; amyloidosis; area under the curve; Article; blood clotting; child; clinical article; controlled study; disease exacerbation; false discovery rate; female; gene ontology; glycogen storage disease type 1a; glycogen storage disease type 1b; human; human tissue; hypercholesterolemia; hyperlipoproteinemia; immune response; lipid metabolism; liver cell carcinoma; liver injury; liver tissue; male; mass spectrometry; principal component analysis; proteomics; receiver operating characteristic; retrospective study; risk factor; thrombosis; upregulation; article; complication; etiology; glycogen storage disease type 1; liver; liver cell carcinoma; prognosis","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031720043"
"Tsaktanis T.; Rudtke L.; Ammon L.; Mestermann S.; Rothhammer V.; Lewczuk P.; Maler J.M.; Kornhuber J.; Oberstein T.J.","Tsaktanis, Thanos (56891653000); Rudtke, Laura (58959065800); Ammon, Leander (60039933900); Mestermann, Stefan (58291951700); Rothhammer, Veit (15136659900); Lewczuk, Piotr (55156917800); Maler, Juan Manuel (6601977908); Kornhuber, Johannes (7007179429); Oberstein, Timo Jan (56192986900)","56891653000; 58959065800; 60039933900; 58291951700; 15136659900; 55156917800; 6601977908; 7007179429; 56192986900","Reduced serum AHR agonistic activity reflects amyloid dysregulation in AT1 subtypes of Alzheimer’s disease","2026","Alzheimer's Research and Therapy ","18","1","47","","","0","10.1186/s13195-026-01978-w","https://www.scopus.com/pages/publications/105030858603?origin=resultslist","Background: The aryl hydrocarbon receptor (AHR) is a ligand-activated transcription factor linking environmental signals to immune regulation and neurodegeneration. While AHR agonists exert protective effects in Alzheimer’s disease (AD) models, their relevance in humans remains unclear. We investigated AHR agonistic activity in serum and cerebrospinal fluid (CSF) across AT1-defined AD subtypes and its association with amyloid beta (Aβ) metabolism. Methods: We measured AHR agonistic activity using a luciferase reporter assay in serum and cerebrospinal fluid (CSF) from 138 individuals (113 non-demented, 25 demented) classified by CSF Aβ1-42, Aβ1-42/Aβ1-40 ratio and pTau181 into four AT1 groups: A + T1 + (AD), A + T1- (isolated decrease of Aβ1-42/Aβ1-40 or Aβ1-42), A-T1 + (isolated tau pathology/PASSED), and A-T1- (biomarker-negative controls). Results: Serum AHR agonistic activity was significantly reduced in biomarker-positive individuals compared to controls (Δ z-score = 2.25, 95% CI [1.33, 3.17], p < 0.001), with the most pronounced reductions observed in two distinct phenotypes: non-demented A-T1 + individuals (z-score = -2.33, 95% CI [-3.26, -1.40]) and A + T1 + patients with preserved CSF Aβ1-42 despite pathological Aβ1-42/Aβ1-40 ratios (p = 0.006 compared to A + T1 + with pathological Aβ1-42). Serum AHR activity correlated negatively with CSF Aβ1-40 (ρ = -0.31, p < 0.001) and Aβ1-42 (ρ = -0.20, p = 0.021) across all participants. The relationship between pTau181 and serum AHR activity showed significant effect modification by amyloidopathy (A) (interaction p < 0.0001): negative in A- individuals (β = -0.54, p < 0.0001) but positive at high pTau181 levels in A + cases (β = 0.12, p = 0.025). CSF AHR activity showed no significant differences between AT1 groups. Conclusions: Peripheral AHR agonistic activity is reduced in early and atypical AD phenotypes and correlates with amyloid peptides Aβ1-42 and Aβ1-40 in CSF. The amyloid status-dependent reversal of pTau181-AHR associations suggests distinct regulatory mechanisms across AT1 groups. © The Author(s) 2026.","Alzheimer's disease (AD); Amyloid beta metabolism; Aryl hydrocarbon receptor (AHR); ATN classification; Inflammation","amyloid beta protein; amyloid beta protein[1-42]; aromatic hydrocarbon receptor; tau protein; amyloid; aromatic hydrocarbon receptor; Alzheimer disease; amyloidosis; Article; cerebrospinal fluid analysis; cerebrospinal fluid level; cohort analysis; controlled study; correlation analysis; dementia; down regulation; functional status assessment; human; luciferase assay; nervous system inflammation; neuroimaging; neuropathology; nuclear magnetic resonance imaging; phenotype; protein blood level; protein metabolism; retrospective study; aged; article; diagnosis; drug concentration; inflammation; male; nonhuman","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105030858603"
